Title,Brand,price,features
Karbonn Polymer-10 10000mAH Power Bank - Black,Karbonn,950.00,Item model number: Polymer 10 Rubber| 
							Output-USB DC 5V/2.1A
							
						| 
							Input-DC 5V/2.1A| 
							LED flash light
							
						| 
							USB port 2
							
						|Intelligent IC for protection, dual charging mode|Item model number: Polymer 10 Rubber| 
							Output-USB DC 5V/2.1A
							
						| 
							Input-DC 5V/2.1A| 
							LED flash light
							
						| 
							USB port 2
							
						